date,month_name,month,year,quarter,day_of_week
2024-01-01,January,1,2024,1,Monday
2024-01-02,January,1,2024,1,Tuesday
2024-01-03,January,1,2024,1,Wednesday
2024-01-04,January,1,2024,1,Thursday
2024-01-05,January,1,2024,1,Friday
2024-01-06,January,1,2024,1,Saturday
2024-01-07,January,1,2024,1,Sunday
2024-01-08,January,1,2024,1,Monday
2024-01-09,January,1,2024,1,Tuesday
2024-01-10,January,1,2024,1,Wednesday
2024-01-11,January,1,2024,1,Thursday
2024-01-12,January,1,2024,1,Friday
2024-01-13,January,1,2024,1,Saturday
2024-01-14,January,1,2024,1,Sunday
2024-01-15,January,1,2024,1,Monday
2024-01-16,January,1,2024,1,Tuesday
2024-01-17,January,1,2024,1,Wednesday
2024-01-18,January,1,2024,1,Thursday
2024-01-19,January,1,2024,1,Friday
2024-01-20,January,1,2024,1,Saturday
2024-01-21,January,1,2024,1,Sunday
2024-01-22,January,1,2024,1,Monday
2024-01-23,January,1,2024,1,Tuesday
2024-01-24,January,1,2024,1,Wednesday
2024-01-25,January,1,2024,1,Thursday
2024-01-26,January,1,2024,1,Friday
2024-01-27,January,1,2024,1,Saturday
2024-01-28,January,1,2024,1,Sunday
2024-01-29,January,1,2024,1,Monday
2024-01-30,January,1,2024,1,Tuesday
2024-01-31,January,1,2024,1,Wednesday
2024-02-01,February,2,2024,1,Thursday
2024-02-02,February,2,2024,1,Friday
2024-02-03,February,2,2024,1,Saturday
2024-02-04,February,2,2024,1,Sunday
2024-02-05,February,2,2024,1,Monday
2024-02-06,February,2,2024,1,Tuesday
2024-02-07,February,2,2024,1,Wednesday
2024-02-08,February,2,2024,1,Thursday
2024-02-09,February,2,2024,1,Friday
2024-02-10,February,2,2024,1,Saturday
2024-02-11,February,2,2024,1,Sunday
2024-02-12,February,2,2024,1,Monday
2024-02-13,February,2,2024,1,Tuesday
2024-02-14,February,2,2024,1,Wednesday
2024-02-15,February,2,2024,1,Thursday
2024-02-16,February,2,2024,1,Friday
2024-02-17,February,2,2024,1,Saturday
2024-02-18,February,2,2024,1,Sunday
2024-02-19,February,2,2024,1,Monday
2024-02-20,February,2,2024,1,Tuesday
2024-02-21,February,2,2024,1,Wednesday
2024-02-22,February,2,2024,1,Thursday
2024-02-23,February,2,2024,1,Friday
2024-02-24,February,2,2024,1,Saturday
2024-02-25,February,2,2024,1,Sunday
2024-02-26,February,2,2024,1,Monday
2024-02-27,February,2,2024,1,Tuesday
2024-02-28,February,2,2024,1,Wednesday
2024-02-29,February,2,2024,1,Thursday
2024-03-01,March,3,2024,1,Friday
2024-03-02,March,3,2024,1,Saturday
2024-03-03,March,3,2024,1,Sunday
2024-03-04,March,3,2024,1,Monday
2024-03-05,March,3,2024,1,Tuesday
2024-03-06,March,3,2024,1,Wednesday
2024-03-07,March,3,2024,1,Thursday
2024-03-08,March,3,2024,1,Friday
2024-03-09,March,3,2024,1,Saturday
2024-03-10,March,3,2024,1,Sunday
2024-03-11,March,3,2024,1,Monday
2024-03-12,March,3,2024,1,Tuesday
2024-03-13,March,3,2024,1,Wednesday
2024-03-14,March,3,2024,1,Thursday
2024-03-15,March,3,2024,1,Friday
2024-03-16,March,3,2024,1,Saturday
2024-03-17,March,3,2024,1,Sunday
2024-03-18,March,3,2024,1,Monday
2024-03-19,March,3,2024,1,Tuesday
2024-03-20,March,3,2024,1,Wednesday
2024-03-21,March,3,2024,1,Thursday
2024-03-22,March,3,2024,1,Friday
2024-03-23,March,3,2024,1,Saturday
2024-03-24,March,3,2024,1,Sunday
2024-03-25,March,3,2024,1,Monday
2024-03-26,March,3,2024,1,Tuesday
2024-03-27,March,3,2024,1,Wednesday
2024-03-28,March,3,2024,1,Thursday
2024-03-29,March,3,2024,1,Friday
2024-03-30,March,3,2024,1,Saturday
2024-03-31,March,3,2024,1,Sunday
2024-04-01,April,4,2024,2,Monday
2024-04-02,April,4,2024,2,Tuesday
2024-04-03,April,4,2024,2,Wednesday
