return_id,date,product_id,customer_id,quantity,return_reason,return_amount,refund_processed
RETURN20240001,2024-07-03,P02,C06,3,duplicate,91.58,False
RETURN20240002,2024-11-16,P06,C05,15,other,189.76,False
RETURN20240003,2024-06-18,P04,C05,14,shipping_damage,473.12,True
RETURN20240004,2024-10-23,P05,C06,11,quality_issue,196.47,False
RETURN20240005,2024-10-17,P03,C03,4,duplicate,247.25,True
RETURN20240006,2024-08-26,P06,C02,17,other,320.2,True
RETURN20240007,2024-06-04,P04,C03,3,quality_issue,114.36,True
RETURN20240008,2024-05-24,P05,C01,2,quality_issue,33.31,True
RETURN20240009,2024-01-26,P03,C02,12,other,604.36,True
RETURN20240010,2024-02-14,P06,C03,5,changed_mind,84.37,True
RETURN20240011,2024-05-28,P02,C01,16,changed_mind,644.25,False
RETURN20240012,2024-08-04,P04,C01,9,other,303.22,False
RETURN20240013,2024-12-13,P03,C05,5,changed_mind,163.02,False
RETURN20240014,2024-10-10,P02,C03,10,other,367.65,False
RETURN20240015,2024-10-06,P02,C04,14,other,351.96,False
RETURN20240016,2024-09-14,P06,C06,12,duplicate,189.17,False
RETURN20240017,2024-08-24,P01,C05,1,duplicate,18.78,True
RETURN20240018,2024-11-10,P03,C02,19,changed_mind,860.38,False
RETURN20240019,2024-01-28,P04,C02,13,duplicate,645.63,False
RETURN20240020,2024-01-28,P01,C01,9,quality_issue,223.84,True
RETURN20240021,2024-05-28,P05,C04,11,quality_issue,256.28,True
RETURN20240022,2024-12-25,P02,C05,5,duplicate,97.85,True
RETURN20240023,2024-06-03,P06,C03,1,other,20.33,True
RETURN20240024,2024-02-04,P01,C02,20,other,374.83,True
RETURN20240025,2024-02-23,P04,C01,17,quality_issue,875.35,False
RETURN20240026,2024-07-26,P04,C02,8,other,250.91,False
RETURN20240027,2024-12-02,P05,C01,14,quality_issue,165.4,True
RETURN20240028,2024-03-28,P05,C06,18,duplicate,243.98,True
RETURN20240029,2024-10-28,P04,C03,9,quality_issue,319.66,False
RETURN20240030,2024-03-16,P01,C03,15,duplicate,211.68,False
RETURN20240031,2024-01-18,P06,C06,20,shipping_damage,459.77,False
RETURN20240032,2024-08-22,P03,C01,6,other,174.87,False
RETURN20240033,2024-09-19,P01,C02,5,other,113.91,True
RETURN20240034,2024-05-22,P06,C03,13,duplicate,172.53,False
RETURN20240035,2024-11-06,P06,C02,19,other,404.93,False
RETURN20240036,2024-03-07,P06,C03,19,shipping_damage,365.24,False
RETURN20240037,2024-02-04,P01,C01,6,quality_issue,156.04,False
RETURN20240038,2024-06-14,P02,C06,8,changed_mind,256.91,False
RETURN20240039,2024-08-03,P01,C01,20,quality_issue,687.17,True
RETURN20240040,2024-08-14,P03,C05,1,shipping_damage,28.4,False
RETURN20240041,2024-07-12,P02,C06,19,changed_mind,429.99,False
RETURN20240042,2024-12-13,P03,C02,7,duplicate,383.92,True
RETURN20240043,2024-02-14,P05,C01,4,changed_mind,91.03,False
RETURN20240044,2024-07-27,P05,C05,3,other,51.58,True
RETURN20240045,2024-10-19,P04,C05,12,other,578.09,True
RETURN20240046,2024-08-12,P04,C06,13,other,323.34,False
RETURN20240047,2024-02-21,P01,C04,8,other,169.45,True
RETURN20240048,2024-05-28,P03,C04,12,changed_mind,636.08,True
RETURN20240049,2024-09-30,P05,C02,17,other,272.93,True
RETURN20240050,2024-10-06,P06,C01,19,shipping_damage,352.14,True
RETURN20240051,2024-06-22,P04,C03,7,quality_issue,170.75,False
RETURN20240052,2024-12-05,P01,C02,16,other,550.22,True
RETURN20240053,2024-06-26,P01,C04,20,quality_issue,779.2,False
RETURN20240054,2024-03-07,P03,C06,2,duplicate,75.47,False
RETURN20240055,2024-08-08,P04,C03,8,quality_issue,154.63,True
RETURN20240056,2024-09-30,P05,C04,1,quality_issue,16.16,False
RETURN20240057,2024-12-22,P02,C04,14,quality_issue,385.23,False
RETURN20240058,2024-06-29,P02,C03,14,changed_mind,331.34,True
RETURN20240059,2024-04-26,P04,C06,18,quality_issue,917.26,True
RETURN20240060,2024-01-30,P01,C01,5,shipping_damage,79.46,False
