sale_id,date,product_id,customer_id,quantity,unit_price,sales_amount
SALE20240001,2024-11-23,P01,C01,9,48.19,426.95
SALE20240002,2024-02-22,P06,C06,18,29.52,491.26
SALE20240003,2024-01-16,P01,C02,8,47.62,400.35
SALE20240004,2024-04-11,P06,C06,18,29.60,526.88
SALE20240005,2024-05-22,P01,C02,14,48.27,677.50
SALE20240006,2024-06-21,P01,C01,13,51.73,597.45
SALE20240007,2024-11-05,P03,C01,15,77.50,1118.04
SALE20240008,2024-07-12,P01,C05,10,50.58,532.83
SALE20240009,2024-07-04,P05,C02,3,31.52,88.37
SALE20240010,2024-05-28,P01,C02,4,49.76,195.17
SALE20240011,2024-07-05,P02,C03,12,51.28,593.40
SALE20240012,2024-12-15,P06,C01,20,29.85,611.06
SALE20240013,2024-05-05,P02,C04,13,54.73,651.10
SALE20240014,2024-12-18,P05,C02,11,33.29,380.84
SALE20240015,2024-04-27,P01,C03,13,48.55,619.68
SALE20240016,2024-10-17,P06,C03,7,29.44,214.72
SALE20240017,2024-11-25,P04,C02,9,69.92,569.98
SALE20240018,2024-10-02,P03,C06,19,74.62,1385.88
SALE20240019,2024-07-04,P02,C02,17,53.84,891.34
SALE20240020,2024-02-26,P02,C06,6,52.09,333.40
SALE20240021,2024-02-02,P04,C04,20,68.45,1500.44
SALE20240022,2024-10-10,P01,C06,4,50.17,207.23
SALE20240023,2024-05-16,P06,C03,4,28.73,114.09
SALE20240024,2024-01-02,P06,C06,9,30.53,293.02
SALE20240025,2024-09-16,P01,C06,10,50.03,534.06
SALE20240026,2024-04-11,P02,C03,6,53.96,317.48
SALE20240027,2024-09-28,P01,C05,11,48.05,548.64
SALE20240028,2024-07-04,P03,C02,2,74.50,140.33
SALE20240029,2024-02-10,P01,C06,16,52.38,850.39
SALE20240030,2024-09-29,P02,C02,16,50.74,915.07
SALE20240031,2024-09-27,P05,C04,7,33.23,246.26
SALE20240032,2024-12-19,P02,C06,10,53.40,514.39
SALE20240033,2024-07-10,P04,C05,15,66.37,946.15
SALE20240034,2024-06-22,P01,C05,18,48.59,851.25
SALE20240035,2024-02-06,P06,C06,2,30.96,56.27
SALE20240036,2024-06-18,P01,C05,8,49.92,382.20
SALE20240037,2024-10-03,P02,C06,19,51.15,1012.70
SALE20240038,2024-08-30,P04,C02,4,67.78,250.99
SALE20240039,2024-08-04,P04,C04,2,71.55,141.23
SALE20240040,2024-02-20,P01,C04,11,48.04,582.95
SALE20240041,2024-04-08,P02,C05,15,50.84,730.83
SALE20240042,2024-08-24,P02,C01,15,54.37,836.01
SALE20240043,2024-02-20,P01,C06,18,52.33,960.29
SALE20240044,2024-05-01,P02,C04,16,54.41,836.87
SALE20240045,2024-01-31,P02,C04,1,51.27,57.60
SALE20240046,2024-08-20,P03,C04,18,73.90,1375.12
SALE20240047,2024-04-07,P03,C02,2,74.31,150.34
SALE20240048,2024-06-09,P01,C01,19,52.09,945.40
SALE20240049,2024-09-28,P02,C01,17,50.85,817.55
SALE20240050,2024-10-31,P01,C06,8,52.20,392.22
SALE20240051,2024-10-18,P02,C05,20,50.31,953.35
SALE20240052,2024-12-02,P05,C05,17,31.62,530.57
SALE20240053,2024-12-08,P06,C03,8,28.65,226.84
SALE20240054,2024-11-26,P03,C04,11,77.22,883.84
SALE20240055,2024-01-05,P04,C05,19,65.34,1425.41
SALE20240056,2024-04-19,P05,C03,5,33.63,176.04
SALE20240057,2024-05-05,P03,C03,6,74.32,438.51
SALE20240058,2024-06-03,P05,C06,17,33.43,496.58
SALE20240059,2024-06-02,P06,C01,5,30.91,141.74
SALE20240060,2024-10-10,P02,C03,10,53.64,536.01
SALE20240061,2024-04-14,P06,C06,9,29.01,268.04
SALE20240062,2024-01-27,P01,C06,14,47.71,745.96
SALE20240063,2024-06-19,P02,C06,9,52.19,440.52
SALE20240064,2024-12-27,P04,C05,1,71.29,62.95
SALE20240065,2024-12-19,P02,C05,2,52.93,112.03
SALE20240066,2024-03-16,P04,C02,2,70.97,131.27
SALE20240067,2024-01-21,P03,C02,8,72.92,611.76
SALE20240068,2024-10-13,P04,C05,5,66.45,370.31
SALE20240069,2024-03-24,P02,C04,1,54.73,49.13
SALE20240070,2024-07-29,P06,C06,8,30.60,226.90
SALE20240071,2024-02-25,P04,C01,16,70.41,1031.38
SALE20240072,2024-08-23,P03,C03,8,75.18,559.19
SALE20240073,2024-07-23,P03,C03,3,72.37,242.73
SALE20240074,2024-11-24,P05,C04,18,30.87,563.51
SALE20240075,2024-05-13,P02,C05,9,53.01,428.87
SALE20240076,2024-06-25,P06,C03,14,29.78,425.35
SALE20240077,2024-07-16,P05,C02,9,32.19,265.03
SALE20240078,2024-09-23,P05,C06,7,31.01,220.64
SALE20240079,2024-12-06,P03,C05,11,71.22,840.60
SALE20240080,2024-06-02,P05,C03,14,33.04,437.83
SALE20240081,2024-10-10,P02,C02,14,51.87,759.24
SALE20240082,2024-03-30,P05,C05,10,33.48,317.91
SALE20240083,2024-06-04,P03,C02,14,74.79,1095.21
SALE20240084,2024-06-13,P04,C04,15,68.33,1059.71
SALE20240085,2024-03-27,P06,C01,10,30.15,298.42
SALE20240086,2024-06-20,P01,C02,10,48.49,472.37
SALE20240087,2024-01-13,P01,C02,16,51.33,817.64
SALE20240088,2024-08-21,P04,C06,19,69.59,1217.50
SALE20240089,2024-09-10,P04,C02,5,64.88,351.90
SALE20240090,2024-02-24,P04,C02,6,69.59,434.41
SALE20240091,2024-08-25,P01,C05,8,48.10,433.31
SALE20240092,2024-03-09,P04,C06,17,68.90,1273.47
SALE20240093,2024-08-14,P05,C06,17,33.72,542.73
SALE20240094,2024-08-16,P02,C06,16,53.82,831.61
SALE20240095,2024-11-22,P03,C05,16,72.33,1214.01
SALE20240096,2024-02-09,P06,C03,8,29.21,227.13
SALE20240097,2024-10-03,P01,C02,5,50.96,236.52
SALE20240098,2024-12-27,P02,C01,14,52.72,721.42
SALE20240099,2024-07-31,P01,C02,14,51.34,684.39
SALE20240100,2024-12-22,P01,C05,13,52.20,646.88
SALE20240101,2024-06-01,P04,C04,18,68.56,1289.31
SALE20240102,2024-11-04,P02,C04,8,52.42,400.93
SALE20240103,2024-07-18,P03,C06,13,76.52,1005.13
SALE20240104,2024-03-06,P05,C05,1,32.70,35.04
SALE20240105,2024-12-05,P01,C01,14,49.80,648.87
SALE20240106,2024-01-26,P03,C04,11,72.72,767.06
SALE20240107,2024-07-13,P03,C04,9,73.78,710.61
SALE20240108,2024-10-03,P01,C03,8,51.40,411.93
SALE20240109,2024-11-29,P01,C01,8,47.59,375.87
SALE20240110,2024-03-19,P02,C02,16,52.84,868.47
SALE20240111,2024-04-21,P04,C06,9,65.98,647.04
SALE20240112,2024-11-06,P06,C06,4,28.75,125.61
SALE20240113,2024-06-08,P01,C05,1,50.37,54.28
SALE20240114,2024-07-11,P04,C06,7,69.55,437.24
SALE20240115,2024-11-17,P02,C01,10,53.03,561.78
SALE20240116,2024-03-02,P05,C01,12,32.92,391.35
SALE20240117,2024-02-05,P05,C06,11,32.14,321.66
SALE20240118,2024-09-07,P01,C04,12,51.63,616.15
SALE20240119,2024-12-28,P02,C04,6,54.94,329.73
SALE20240120,2024-05-18,P05,C05,16,33.46,514.76
SALE20240121,2024-10-30,P03,C03,8,70.94,631.16
SALE20240122,2024-08-18,P02,C04,19,51.86,1019.51
SALE20240123,2024-01-15,P04,C03,6,67.26,408.48
SALE20240124,2024-05-12,P03,C03,20,72.34,1539.55
SALE20240125,2024-01-06,P05,C02,3,32.10,92.17
SALE20240126,2024-10-11,P02,C06,16,52.45,864.51
SALE20240127,2024-01-09,P01,C03,8,48.71,392.27
SALE20240128,2024-12-05,P05,C03,16,31.89,523.94
SALE20240129,2024-10-08,P03,C03,15,72.16,1059.14
SALE20240130,2024-03-02,P06,C02,11,29.86,302.35
SALE20240131,2024-12-19,P02,C02,7,51.33,385.04
SALE20240132,2024-10-28,P05,C05,10,33.48,355.14
SALE20240133,2024-05-31,P02,C03,6,53.59,302.54
SALE20240134,2024-03-05,P03,C01,2,75.46,149.58
SALE20240135,2024-03-05,P06,C04,4,29.97,127.87
SALE20240136,2024-08-28,P04,C04,11,65.19,703.36
SALE20240137,2024-09-01,P01,C01,13,50.38,648.80
SALE20240138,2024-12-17,P01,C02,5,52.24,265.50
SALE20240139,2024-02-13,P02,C01,18,53.06,994.98
SALE20240140,2024-11-12,P02,C05,13,52.20,675.75
SALE20240141,2024-10-28,P04,C03,19,69.00,1328.14
SALE20240142,2024-02-20,P02,C06,7,50.30,350.20
SALE20240143,2024-05-02,P02,C05,3,52.02,146.68
SALE20240144,2024-12-18,P05,C04,10,31.71,293.72
SALE20240145,2024-05-24,P06,C04,3,31.01,92.59
SALE20240146,2024-11-16,P05,C06,7,32.54,223.40
SALE20240147,2024-11-27,P02,C03,5,50.75,240.00
SALE20240148,2024-06-06,P05,C06,19,32.20,667.46
SALE20240149,2024-08-27,P06,C03,13,29.75,420.99
SALE20240150,2024-09-09,P04,C01,20,67.79,1239.38
SALE20240151,2024-06-14,P05,C03,1,33.90,29.75
SALE20240152,2024-10-21,P05,C01,9,33.25,296.05
SALE20240153,2024-03-30,P04,C05,15,66.08,1108.94
SALE20240154,2024-10-26,P04,C06,16,68.05,1194.44
SALE20240155,2024-07-28,P03,C03,4,72.74,317.18
SALE20240156,2024-12-21,P04,C03,13,68.59,942.89
SALE20240157,2024-08-20,P01,C03,9,52.34,434.01
SALE20240158,2024-07-25,P05,C01,18,30.96,578.76
SALE20240159,2024-09-22,P03,C05,16,75.92,1213.70
SALE20240160,2024-04-14,P03,C05,5,73.54,401.65
SALE20240161,2024-12-23,P04,C01,1,68.99,74.71
SALE20240162,2024-05-02,P06,C02,10,29.91,300.52
SALE20240163,2024-02-17,P02,C01,15,53.28,857.91
SALE20240164,2024-03-19,P04,C06,10,66.70,683.71
SALE20240165,2024-09-04,P04,C02,15,67.46,1034.25
SALE20240166,2024-11-02,P05,C06,5,31.68,173.79
SALE20240167,2024-07-31,P03,C05,9,72.39,708.70
SALE20240168,2024-06-01,P05,C05,16,32.23,556.27
SALE20240169,2024-09-04,P03,C03,18,73.09,1402.03
SALE20240170,2024-06-13,P02,C06,8,51.10,426.03
SALE20240171,2024-07-29,P01,C03,16,51.55,832.67
SALE20240172,2024-07-16,P06,C06,5,28.37,148.61
SALE20240173,2024-09-14,P05,C03,4,32.21,139.30
SALE20240174,2024-09-26,P04,C01,5,69.31,335.11
SALE20240175,2024-03-20,P01,C04,9,50.95,435.38
SALE20240176,2024-11-28,P01,C03,18,49.07,878.23
SALE20240177,2024-09-06,P05,C01,20,32.82,592.07
SALE20240178,2024-05-27,P02,C06,3,50.39,155.42
SALE20240179,2024-11-20,P06,C01,15,29.15,416.47
SALE20240180,2024-01-15,P01,C03,2,49.36,95.85
SALE20240181,2024-03-15,P02,C05,14,54.04,744.69
SALE20240182,2024-03-28,P02,C01,20,53.13,1127.88
SALE20240183,2024-05-03,P04,C05,5,69.19,322.97
SALE20240184,2024-08-23,P03,C06,1,73.74,79.90
SALE20240185,2024-05-27,P06,C05,6,31.07,163.29
SALE20240186,2024-10-27,P03,C06,14,73.68,1075.43
SALE20240187,2024-06-03,P02,C04,16,51.88,773.92
SALE20240188,2024-07-02,P05,C03,10,33.47,293.02
SALE20240189,2024-07-21,P03,C01,19,76.06,1508.66
SALE20240190,2024-01-26,P05,C06,16,33.71,552.91
SALE20240191,2024-04-27,P05,C03,8,32.79,266.28
SALE20240192,2024-12-13,P06,C06,5,30.95,152.57
SALE20240193,2024-11-26,P01,C03,15,49.31,679.87
SALE20240194,2024-03-08,P01,C03,11,48.37,577.11
SALE20240195,2024-03-08,P05,C03,17,31.66,551.00
SALE20240196,2024-03-25,P03,C04,10,72.81,776.49
SALE20240197,2024-02-28,P04,C01,5,66.38,358.60
SALE20240198,2024-12-12,P06,C06,13,30.66,422.89
SALE20240199,2024-07-06,P01,C04,1,48.11,47.64
SALE20240200,2024-07-07,P06,C06,9,30.71,272.28
SALE20240201,2024-07-09,P01,C06,8,50.59,397.64
SALE20240202,2024-10-14,P03,C05,8,75.00,609.48
SALE20240203,2024-08-25,P06,C03,14,28.40,384.57
SALE20240204,2024-01-20,P03,C04,4,76.87,272.15
SALE20240205,2024-03-10,P04,C04,12,69.91,846.93
SALE20240206,2024-10-03,P04,C05,5,69.31,367.55
SALE20240207,2024-09-07,P05,C04,9,31.98,264.35
